acc.date,aircraft_type,operator,fatalities,damage,year
2022-12-30,Canadair Cl-600S Challenger 600,Private,2,Written Off,2022
2022-12-31,Embraer Erj-175Lr (Erj-170-200 Lr),"American Eagle, Opb Envoy Air",0,Minor,2022
2022-12-31,Cessna 208B Grand Caravan,Bar Aviation,0,Written Off,2022
2021-01-02,Beechcraft 200 Super King Air,"Vagus Group, Inc.",0,Minor,2021
2021-01-02,Learjet 31A,Brasil Vida Táxi Aéreo,0,Substantial,2021
2021-01-09,Cessna 560 Citation V,Sx Transport Llc,1,Written Off,2021
2021-01-09,Boeing 737-524 (Wl),Sriwijaya Air,62,Written Off,2021
2021-01-12,Harbin Y-12-Ii,Kenya Air Force - Kaf,4,Written Off,2021
2021-01-17,Boeing 777-31Her,Emirates,0,None,2021
2021-01-19,Avro Rj85,Jota Aviation,0,Substantial,2021
2021-01-19,Boeing 737-4Q8 (Sf),West Atlantic Uk,0,Substantial,2021
2021-01-23,Canadair Cl-600 Challenger 600,Global Avionics Llc,0,Unknown,2021
2021-01-23,North American Rockwell Sabreliner 60,Aviacion Ejecutiva Del Bajio,0,Substantial,2021
2021-01-24,Raytheon Beechjet 400A,Martinair Inc.,0,Substantial,2021
2021-01-26,Harbin Y-12E,Zambian Air Force,0,Substantial,2021
2021-01-28,Beechcraft B300 King Air 350,Mm-Air Llc,0,Substantial,2021
2021-01-29,Beechcraft 100 King Air,Private,0,Written Off,2021
2021-02-01,Boeing 747-8Kzf,Nippon Cargo Airlines,0,Substantial,2021
2021-02-08,Airbus A320-271N,Spirit Airlines,0,None,2021
2021-02-08,Embraer Emb-500 Phenom 100,Luxwing,0,Substantial,2021
2021-02-09,Antonov An-12Bk,Russian Air Force,0,Substantial,2021
2021-02-10,Airbus A320-214 (Wl),Flyadeal,0,Substantial,2021
2021-02-13,Dassault Falcon 900Ex Easy,Aerospike Iron Llc,0,Substantial,2021
2021-02-14,De Havilland Canada Dhc-6 Twin Otter 300,Manta Air,0,Substantial,2021
2021-02-15,De Havilland Canada Dhc-6 Twin Otter 300,Armée De L'Air Et De L'Espace,0,Substantial,2021
2021-02-18,Learjet 55C,Royal Air Freight,0,Substantial,2021
2021-02-20,Boeing 737-86N (Wl),Air India Express,0,Substantial,2021
2021-02-20,De Havilland Canada Dhc-3T Vazar Turbine Otter,Wings Over Kississing,0,Substantial,2021
2021-02-21,Beechcraft 200 Super King Air,Private,0,Written Off,2021
2021-02-21,Learjet 45Xr,Fuerza Aérea Mexicana,6,Written Off,2021
2021-02-21,Beechcraft B300 King Air 350,Nigerian Air Force - Naf,7,Written Off,2021
2021-02-26,Antonov An-2T,Asia Continental Airlines,0,Substantial,2021
2021-02-28,Douglas Dc-3C,Aliansa Colombia,0,Substantial,2021
2021-03-01,Atr 72-500 (72-212A),Air Algérie,0,Unknown,2021
2021-03-01,Beechcraft B300 King Air 350I,"Beidahuang General Airlines, Opf China Met, Administration",5,Written Off,2021
2021-03-02,Let L-410Uvp-E,South Sudan Supreme Airlines,10,Written Off,2021
2021-03-04,Fokker 100,Iran Air,0,None,2021
2021-03-07,Embraer Emb-120Er Brasilia,Berry Aviation,0,Substantial,2021
2021-03-10,Cessna 208B Grand Caravan,Mission Aviation Fellowship - Maf,0,Substantial,2021
2021-03-12,Cessna 208B Grand Caravan,Grant Aviation,0,Substantial,2021
2021-03-13,Antonov An-26,Kazakhstan Border Guards,4,Written Off,2021
2021-03-15,Boeing 777-223Er,American Airlines,0,None,2021
2021-03-16,Bombardier Crj-701Er,Skywest Airlines,0,None,2021
2021-03-18,Airbus A320-232,Viva Aerobus,0,Substantial,2021
2021-03-19,Antonov An-2T,Venezuela Flight Canaima,0,Substantial,2021
2021-03-20,Cessna 208B Grand Caravan,Aeronav Air Services,2,Written Off,2021
2021-03-20,Boeing 737-4Y0,Trigana Air Service,0,Substantial,2021
2021-03-23,Saab 340Af,Sprintair,0,Substantial,2021
2021-03-25,Embraer,Mauritania Airlines International,0,None,2021
2021-03-26,Beechcraft B200 Super King Air,West Wind Aviation Ltd.,0,Written Off,2021
2021-03-28,Embraer Emb-145Lr,"American Eagle , Opb Piedmont Airlines",0,None,2021
2021-04-02,Boeing 737-8As (Wl),Malta Air,0,Minor,2021
2021-04-03,Cessna 208B Grand Caravan,Everts Air Cargo,0,Substantial,2021
